,区域,小区名称,户型,面积(㎡),价格(元/月),位置
84,东城,北河沿大街,2室1厅,58.73 ,9000 ,北京市东城区北河沿大街
85,东城,京禧阁,2室1厅,97.65 ,12000 ,北京市东城区京禧阁
86,东城,京宝花园,2室1厅,162.24 ,15000 ,北京市东城区京宝花园
87,东城,工体北里,2室1厅,45.70 ,7300 ,北京市东城区工体北里
88,东城,正东国际大厦,4室1厅,312.09 ,40000 ,北京市东城区正东国际大厦
89,东城,体育馆路13号,1室1厅,45.62 ,5700 ,北京市东城区体育馆路13号
90,东城,冠城名敦道,3室2厅,174.97 ,21000 ,北京市东城区冠城名敦道
93,东城,工体3号,1室1厅,101.55 ,18000 ,北京市东城区工体3号
94,东城,金隆基大厦,1室1卫,36.64 ,6900 ,北京市东城区金隆基大厦
95,东城,南弓匠营胡同,2室1厅,80.48 ,8500 ,北京市东城区南弓匠营胡同
96,东城,交道口东大街,1室1厅,82.44 ,10000 ,北京市东城区交道口东大街
97,东城,崇文门西大街,2室0厅,48.11 ,7600 ,北京市东城区崇文门西大街
98,东城,鼎盛园,1室1厅,69.24 ,6200 ,北京市东城区鼎盛园
99,东城,前门东大街,1室0厅,37.36 ,5500 ,北京市东城区前门东大街
100,东城,东直门南大街,2室1厅,61.59 ,8300 ,北京市东城区东直门南大街
101,东城,新中西街,2室1厅,58.61 ,8000 ,北京市东城区新中西街
102,东城,中海紫御公馆,4室2厅,216.88 ,27000 ,北京市东城区中海紫御公馆
103,东城,永定门东街西里,2室1厅,50.77 ,5500 ,北京市东城区永定门东街西里
104,东城,水上华城,2室1厅,74.50 ,8500 ,北京市东城区水上华城
105,东城,海晟名苑北区,1室1厅,93.79 ,13500 ,北京市东城区海晟名苑北区
106,东城,华世隆国际公寓,3室1厅,155.94 ,16000 ,北京市东城区华世隆国际公寓
107,东城,雍和家园一期,3室2厅,169.52 ,19000 ,北京市东城区雍和家园一期
108,东城,交道口北三条,1室0厅,13.40 ,3000 ,北京市东城区交道口北三条
109,东城,安德路47号院,3室1厅,71.01 ,9500 ,北京市东城区安德路47号院
110,东城,小羊宜宾胡同,2室1厅,59.37 ,8000 ,北京市东城区小羊宜宾胡同
111,东城,豆瓣胡同,2室1厅,71.68 ,9500 ,北京市东城区豆瓣胡同
112,东城,广渠家园,1室1厅,51.35 ,5800 ,北京市东城区广渠家园
113,东城,豆瓣胡同,1室1厅,47.99 ,7500 ,北京市东城区豆瓣胡同
114,东城,金鱼池西区,4室2厅,105.84 ,11000 ,北京市东城区金鱼池西区
120,东城,左安浦园,1室0厅,39.01 ,5200 ,北京市东城区左安浦园
121,东城,天娇园,3室2厅,137.84 ,19000 ,北京市东城区天娇园
126,东城,新景家园东区,1室1厅,59.87 ,7800 ,北京市东城区新景家园东区
127,东城,香饵胡同,3室1厅,80.89 ,13500 ,北京市东城区香饵胡同
128,东城,宝钞苑,4室1厅,138.48 ,13000 ,北京市东城区宝钞苑
129,东城,六铺炕,3室1厅,56.63 ,8000 ,北京市东城区六铺炕
130,东城,盛德大厦,2室1厅,106.00 ,18000 ,北京市东城区盛德大厦
131,东城,冠城名敦道,1室0厅,79.28 ,13000 ,北京市东城区冠城名敦道
132,东城,冠城名敦道,1室0厅,76.63 ,11000 ,北京市东城区冠城名敦道
134,东城,雍和家园二期,1室0厅,205.94 ,60000 ,北京市东城区雍和家园二期
135,东城,聚龙花园,3室1厅,239.81 ,30000 ,北京市东城区聚龙花园
136,东城,聚龙花园,2室1厅,195.72 ,35000 ,北京市东城区聚龙花园
137,东城,盛德大厦,1室1厅,67.88 ,9500 ,北京市东城区盛德大厦
138,东城,当代MOMA,4室2厅,290.21 ,50000 ,北京市东城区当代MOMA
139,东城,当代MOMA,4室2厅,290.21 ,55000 ,北京市东城区当代MOMA
140,东城,凯景铭座,4室1厅,178.91 ,22000 ,北京市东城区凯景铭座
141,东城,太华公寓,2室1厅,150.31 ,18000 ,北京市东城区太华公寓
142,东城,织染局胡同,5室0厅,43.70 ,30000 ,北京市东城区织染局胡同
143,东城,盛德大厦,4室2厅,207.26 ,28000 ,北京市东城区盛德大厦
144,东城,北总布胡同,1室1厅,51.07 ,5000 ,北京市东城区北总布胡同
145,东城,中海紫御公馆,2室2厅,90.06 ,13000 ,北京市东城区中海紫御公馆
146,东城,民安小区东直门内北小街,1室1厅,51.67 ,7500 ,北京市东城区民安小区东直门内北小街
147,东城,兴隆都市馨园,1室2厅,72.60 ,8500 ,北京市东城区兴隆都市馨园
148,东城,西营房,2室1厅,89.31 ,9200 ,北京市东城区西营房
149,东城,法华南里,3室2厅,185.09 ,15000 ,北京市东城区法华南里
150,东城,新奥洋房,1室1厅,56.14 ,6000 ,北京市东城区新奥洋房
151,东城,青年湖西里,1室1厅,36.55 ,6200 ,北京市东城区青年湖西里
152,东城,安德路55号院,2室1厅,64.34 ,5000 ,北京市东城区安德路55号院
153,东城,安贞苑50号院,2室1厅,65.82 ,7200 ,北京市东城区安贞苑50号院
154,东城,幸福家园三期,2室2厅,93.70 ,12500 ,北京市东城区幸福家园三期
155,东城,左安漪园,3室1厅,112.47 ,8800 ,北京市东城区左安漪园
156,东城,鸿安国际大厦,2室1厅,152.66 ,22000 ,北京市东城区鸿安国际大厦
157,东城,史家胡同20号院,3室1厅,71.53 ,10000 ,北京市东城区史家胡同20号院
158,东城,安化北里,2室1厅,58.26 ,6500 ,北京市东城区安化北里
159,东城,和平里七区,1室1厅,43.23 ,6200 ,北京市东城区和平里七区
160,东城,安外花园,2室1厅,62.00 ,8000 ,北京市东城区安外花园
161,东城,六铺炕,1室1厅,38.16 ,5900 ,北京市东城区六铺炕
162,东城,龙潭北里五条,2室1厅,59.30 ,7000 ,北京市东城区龙潭北里五条
177,东城,东花市北里中区,3室2厅,124.65 ,14000 ,北京市东城区东花市北里中区
178,东城,前门前酒店公寓,3室1卫,102.77 ,9500 ,北京市东城区前门前酒店公寓
179,东城,新景家园东区,3室1厅,91.40 ,11500 ,北京市东城区新景家园东区
180,东城,太华公寓,3室2厅,233.71 ,25000 ,北京市东城区太华公寓
181,东城,天坛西里东区,2室1厅,56.98 ,5000 ,北京市东城区天坛西里东区
182,东城,万国城MOMA,1室0厅,99.00 ,14000 ,北京市东城区万国城MOMA
